Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
246,"Xavier Bishop, Kansas City (WAC)",Jr.,5-8,G,31,161,61,94,477,15.4,2019
247,"Chris Knight, Dartmouth (Ivy League)",So.,6-6,F,30,192,8,69,461,15.4,2019
248,"Brian Warren, UT Arlington (Sun Belt)",Jr.,5-9,G,33,176,52,103,507,15.4,2019
249,"Lavelle Scottie, Air Force (Mountain West)",Jr.,6-7,F,32,202,33,54,491,15.3,2019
250,"Jared Harper, Auburn (SEC)",Jr.,6-0,G,40,183,98,149,613,15.3,2019
Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Markus Howard, Marquette (Big East)",Sr.,5-11,G,29,237,121,211,806,27.8,2020
2,"Jhivvan Jackson, UTSA (CUSA)",Jr.,6-0,G,32,290,121,155,856,26.8,2020
3,"Jermaine Marrow, Hampton (Big South)",Sr.,6-0,G,28,221,59,192,693,24.8,2020
4,"Antoine Davis, Detroit Mercy (Horizon)",So.,6-1,G,30,237,101,154,729,24.3,2020
5,"Luka Garza, Iowa (Big Ten)",Jr.,6-11,C,31,287,39,127,740,23.9,2020
6,"Mike Smith, Columbia (Ivy League)",Sr.,5-11,G,30,250,62,122,684,22.8,2020
7,"Jerrick Harding, Weber St. (Big Sky)",Sr.,6-1,G,29,235,62,113,645,22.2,2020
8,"Mason Jones, Arkansas (SEC)",Jr.,6-5,G,31,191,68,233,683,22,2020
9,"Ben Stanley, Hampton (Big South)",So.,6-6,F,34,295,15,144,749,22,2020
10,"Jordan Roland, Northeastern (CAA)",Sr.,6-1,G,33,249,95,129,722,21.9,2020
11,"Grant Riller, Col. of Charleston (CAA)",Sr.,6-3,G,31,227,47,177,678,21.9,2020
12,"Jordan Ford, Saint Mary's (CA) (WCC)",Sr.,6-2,G,34,270,86,117,743,21.9,2020
13,"Terry Taylor, Austin Peay (OVC)",Jr.,6-5,F,33,285,41,107,718,21.8,2020
14,"Jalen Harris, Nevada (Mountain West)",Jr.,6-6,G,30,223,67,135,648,21.6,2020
15,"Trevon Allen, Idaho (Big Sky)",Sr.,6-2,G,30,229,62,127,647,21.6,2020
16,"Marcus Burk, IUPUI (Horizon)",Jr.,6-3,G,32,237,93,115,682,21.3,2020
17,"Myles Powell, Seton Hall (Big East)",Sr.,6-2,G,28,195,79,120,589,21,2020
18,"Nate Darling, Delaware (CAA)",Jr.,6-5,G,32,218,107,129,672,21,2020
