Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
227,"Dashawn Davis, Mississippi St. (SEC)",Sr.,6-2,G,31,109,3.5,2023
228,"Jovon McClanahan, Hawaii (Big West)",Jr.,5-10,G,33,116,3.5,2023
229,"Kyle Rode, Liberty (ASUN)",Sr.,6-7,F,36,126,3.5,2023
229,"Flynn Cameron, UC Riverside (Big West)",Sr.,6-5,G,34,119,3.5,2023
229,"Walyn Napper, Longwood (Big South)",Jr.,6-1,G,32,112,3.5,2023
232,"Timmy Allen, Texas (Big 12)",Sr.,6-6,F,35,122,3.5,2023
233,"Jakari Spence, Monmouth (CAA)",Jr.,6-0,G,33,115,3.5,2023
234,"Enoch Cheeks, Robert Morris (Horizon)",Jr.,6-3,G,31,108,3.5,2023
234,"Kyle Lofton, Florida (SEC)",Sr.,6-3,G,31,108,3.5,2023
234,"Moe Odum, Pacific (WCC)",Fr.,6-1,G,31,108,3.5,2023
234,"Noah Thomasson, Niagara (MAAC)",Sr.,6-3,G,31,108,3.5,2023
238,"Kobe Langley, UNC Greensboro (SoCon)",Sr.,6-1,G,32,111,3.5,2023
239,"Aboubacar Traore, Long Beach St. (Big West)",So.,6-5,F,33,114,3.5,2023
240,"Grant Singleton, FDU (NEC)",Sr.,5-9,G,36,124,3.4,2023
240,"Yaakema Rose, Eastern Ill. (OVC)",Sr.,5-9,G,27,93,3.4,2023
242,"Angelo Allegri, Eastern Wash. (Big Sky)",Sr.,6-7,F,34,117,3.4,2023
243,"Caleb Mills, Florida St. (ACC)",Jr.,6-3,G,32,110,3.4,2023
244,"Alvaro Cardenas, San Jose St. (Mountain West)",So.,6-1,G,35,120,3.4,2023
244,"Evan Nelson, Harvard (Ivy League)",So.,6-2,G,28,96,3.4,2023
246,"Zeke Mayo, South Dakota St. (Summit League)",So.,6-3,G,32,109,3.4,2023
247,"Sion James, Tulane (AAC)",So.,6-5,G,31,105,3.4,2023
247,"Elijah Pepper, UC Davis (Big West)",Jr.,6-4,G,31,105,3.4,2023
249,"Elijah Harkless, UNLV (Mountain West)",Sr.,6-3,G,32,108,3.4,2023
250,"Elijah Weaver, Chicago St. (DI Independent)",Sr.,6-6,G,30,101,3.4,2023
251,"Tyreese Davis, Eastern Wash. (Big Sky)",Jr.,6-6,G,31,104,3.4,2023
252,"Bryant Randleman, High Point (Big South)",Sr.,6-4,G,26,87,3.3,2023
253,"Tyler Harris, South Fla. (AAC)",Sr.,5-9,G,32,107,3.3,2023
253,"Demarius Jacobs, Ball St. (MAC)",Sr.,6-2,G,32,107,3.3,2023
253,"Matt Johnson II, Northern Colo. (Big Sky)",Sr.,6-2,G,32,107,3.3,2023
256,"Kyle Sturdivant, Georgia Tech (ACC)",Sr.,6-3,G,33,110,3.3,2023
257,"Ricky Clemons, Campbell (Big South)",Sr.,6-2,G,34,113,3.3,2023
258,"Caleb Donaldson, Eastern Ill. (OVC)",Jr.,6-5,G,31,103,3.3,2023
259,"Ja'Kobi Gillespie, Belmont (MVC)",Fr.,6-0,G,32,106,3.3,2023
259,"Nigel Scantlebury, Central Conn. St. (NEC)",Sr.,6-0,G,32,106,3.3,2023
261,"Oso Ighodaro, Marquette (Big East)",Jr.,6-9,F,36,119,3.3,2023
261,"Julian Larry, Indiana St. (MVC)",So.,6-3,G,36,119,3.3,2023
261,"Tyrese Proctor, Duke (ACC)",Fr.,6-5,G,36,119,3.3,2023
264,"Shawndarius Cowart, Grambling (SWAC)",Sr.,6-2,G,33,109,3.3,2023
264,"Jaren Holmes, Iowa St. (Big 12)",Sr.,6-4,G,33,109,3.3,2023
266,"Reggie Bass, Central Mich. (MAC)",Fr.,6-4,G,30,99,3.3,2023
266,"Selton Miguel, South Fla. (AAC)",So.,6-4,F,30,99,3.3,2023
268,"Baylor Scheierman, Creighton (Big East)",Jr.,6-7,G,37,122,3.3,2023
269,"Gianni Hunt, Sacramento St. (Big Sky)",Jr.,6-4,G,32,105,3.3,2023
269,"Luis Hurtado, Mercer (SoCon)",Sr.,6-6,G,32,105,3.3,2023
269,"Jordan Nesbitt, Hampton (CAA)",So.,6-6,G,32,105,3.3,2023
269,"Jalen Warley, Florida St. (ACC)",So.,6-6,G,32,105,3.3,2023
269,"Trey Wertz, Notre Dame (ACC)",Sr.,6-5,G,32,105,3.3,2023
274,"Jacari Lane, North Ala. (ASUN)",Fr.,6-0,G,33,108,3.3,2023
275,"Jlynn Counter, IUPUI (Horizon)",So.,6-3,G,31,101,3.3,2023
275,"Demaree King, Jacksonville St. (ASUN)",Sr.,6-0,G,31,101,3.3,2023
275,"Kam Woods, N.C. A&T (CAA)",So.,6-2,G,31,101,3.3,2023
278,"Grant Sherfield, Oklahoma (Big 12)",Sr.,6-2,G,32,104,3.2,2023
279,"Lamont Butler, San Diego St. (Mountain West)",Jr.,6-2,G,39,126,3.2,2023
280,"Brandon Murray, Georgetown (Big East)",So.,6-5,G,27,87,3.2,2023
280,"Paxson Wojcik, Brown (Ivy League)",Sr.,6-4,G,27,87,3.2,2023
282,"Walter Clayton Jr., Iona (MAAC)",So.,6-2,G,32,103,3.2,2023
282,"Isaiah Thompson, FGCU (ASUN)",Sr.,6-1,G,32,103,3.2,2023
284,"Drew Timme, Gonzaga (WCC)",Sr.,6-10,F,37,119,3.2,2023
285,"Roscoe Eastmond, Southeastern La. (Southland)",Jr.,5-9,G,28,90,3.2,2023
286,"RJ Davis, North Carolina (ACC)",Jr.,6-0,G,33,106,3.2,2023
287,"Tevin Brewer, Duquesne (Atlantic 10)",Sr.,5-8,G,29,93,3.2,2023
288,"Bez Mbeng, Yale (Ivy League)",So.,6-4,G,30,96,3.2,2023
288,"Zhuric Phelps, SMU (AAC)",So.,6-3,G,30,96,3.2,2023
290,"Mika Adams-Woods, Cincinnati (AAC)",Sr.,6-3,G,36,115,3.2,2023
290,"Jalen Slawson, Furman (SoCon)",Sr.,6-7,F,36,115,3.2,2023
292,"Marcus Fitzgerald Jr., Tennessee St. (OVC)",Jr.,6-2,G,31,99,3.2,2023
292,"KJ Johnson, North Ala. (ASUN)",Jr.,6-3,G,31,99,3.2,2023
294,"Isaiah Wong, Miami (FL) (ACC)",Jr.,6-4,G,37,118,3.2,2023
295,"Caleb Catto, FGCU (ASUN)",Sr.,6-5,G,32,102,3.2,2023
295,"Darius Quisenberry, Fordham (Atlantic 10)",Sr.,6-2,G,32,102,3.2,2023
295,"Messiah Thompson, Alabama A&M (SWAC)",Jr.,5-8,G,32,102,3.2,2023
298,"Alex Anderson, Alabama St. (SWAC)",So.,6-6,G,27,86,3.2,2023
299,"Dallin Hall, BYU (WCC)",Fr.,6-3,G,34,108,3.2,2023
300,"Kai Huntsberry, North Texas (C-USA)",Sr.,6-3,G,37,117,3.2,2023
301,"Keshon Gilbert, UNLV (Mountain West)",So.,6-4,G,31,98,3.2,2023
301,"Jarius Hicklen, North Florida (ASUN)",Jr.,6-3,G,31,98,3.2,2023
303,"Joel Brown, California (Pac-12)",Sr.,6-3,G,32,101,3.2,2023
303,"Tony Felder, VMI (SoCon)",Fr.,5-10,G,32,101,3.2,2023
303,"Jaden Walker, East Carolina (AAC)",Jr.,6-5,G,32,101,3.2,2023
306,"Ahsan Asadullah, Lipscomb (ASUN)",Sr.,6-9,C,33,104,3.2,2023
306,"Felipe Haase, Southern Miss. (Sun Belt)",Sr.,6-9,F,33,104,3.2,2023
308,"Nolan Hickman, Gonzaga (WCC)",So.,6-2,G,37,116,3.1,2023
309,"Lamar Norman Jr., Western Mich. (MAC)",Sr.,6-1,G,30,94,3.1,2023
309,"Brett Thompson, Tennessee Tech (OVC)",Jr.,6-1,G,30,94,3.1,2023
311,"Wesley Cardet, Chicago St. (DI Independent)",So.,6-6,G,31,97,3.1,2023
311,"DQ Nicholas, Gardner-Webb (Big South)",Jr.,6-1,G,31,97,3.1,2023
313,"Jordan King, ETSU (SoCon)",Sr.,6-0,G,32,100,3.1,2023
314,"Michael O'Connell, Stanford (Pac-12)",Jr.,6-2,G,33,103,3.1,2023
315,"Nick Spinoso, Penn (Ivy League)",So.,6-9,F,30,93,3.1,2023
316,"Leon Ayers III, Bowling Green (MAC)",Sr.,6-5,G,31,96,3.1,2023
316,"Jamari Blackmon, ULM (Sun Belt)",Sr.,6-0,G,31,96,3.1,2023
316,"Trey Miller, UIW (Southland)",Fr.,6-2,G,31,96,3.1,2023
316,"Lucas Stieber, Gardner-Webb (Big South)",Jr.,6-3,G,31,96,3.1,2023
316,"Ethan Taylor, Air Force (Mountain West)",So.,6-5,G,31,96,3.1,2023
321,"Trae Broadnax, USC Upstate (Big South)",So.,6-4,G,32,99,3.1,2023
321,"Keyon Menifield, Washington (Pac-12)",Fr.,6-1,G,32,99,3.1,2023
321,"Jeremy Roach, Duke (ACC)",Jr.,6-2,G,32,99,3.1,2023
324,"Boogie Ellis, Southern California (Pac-12)",Sr.,6-3,G,33,102,3.1,2023
324,"Kedrian Johnson, West Virginia (Big 12)",Sr.,6-3,G,33,102,3.1,2023
324,"Santiago Vescovi, Tennessee (SEC)",Sr.,6-3,G,33,102,3.1,2023
327,"Cam Spencer, Rutgers (Big Ten)",Sr.,6-4,G,34,105,3.1,2023
328,"Marcus Sasser, Houston (AAC)",Sr.,6-2,G,36,111,3.1,2023
329,"Jaden Bradley, Alabama (SEC)",Fr.,6-3,G,37,114,3.1,2023
330,"RJ Johnson, Charleston So. (Big South)",Fr.,6-1,G,25,77,3.1,2023
330,"Justin Moore, Drexel (CAA)",Fr.,6-3,G,25,77,3.1,2023
332,"Caleb McConnell, Rutgers (Big Ten)",Sr.,6-6,G,28,86,3.1,2023
333,"Joe Bryant, Norfolk St. (MEAC)",Sr.,6-1,G,32,98,3.1,2023
334,"Pelle Larsson, Arizona (Pac-12)",Jr.,6-5,G,35,107,3.1,2023
334,"Jahmir Young, Maryland (Big Ten)",Sr.,6-2,G,35,107,3.1,2023
336,"Adante’ Holiman, UTRGV (WAC)",Fr.,6-0,G,24,73,3,2023
337,"Javier Ezquerra, Wagner (NEC)",So.,6-1,G,28,85,3,2023
338,"Jordan Crawford, Louisiana Tech (C-USA)",Fr.,6-3,G,33,100,3,2023
338,"Coleman Hawkins, Illinois (Big Ten)",Jr.,6-10,F,33,100,3,2023
340,"Carson Towt, Northern Ariz. (Big Sky)",So.,6-7,F,35,106,3,2023
341,"Adam Kunkel, Xavier (Big East)",Sr.,6-4,G,35,105,3,2023
341,"Kareem Thompson, Oral Roberts (Summit League)",Sr.,6-5,G,35,105,3,2023
341,"Kamdyn Curfman, Marshall (Sun Belt)",Jr.,6-0,G,32,96,3,2023
341,"Ray'Sean Taylor, SIUE (OVC)",So.,6-1,G,32,96,3,2023
341,"Milos Uzan, Oklahoma (Big 12)",Fr.,6-4,G,32,96,3,2023
341,"Damian Dunn, Temple (AAC)",So.,6-5,G,31,93,3,2023
341,"Justin Johnson, UTRGV (WAC)",Sr.,6-6,G,31,93,3,2023
341,"Curtis Jones, Buffalo (MAC)",So.,6-5,G,31,93,3,2023
341,"Dwight Murray, Jr., Rider (MAAC)",Sr.,6-0,G,29,87,3,2023
341,"Ricky Nelson, Prairie View (SWAC)",Sr.,6-1,G,24,72,3,2023
Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Tyler Kolek, Marquette (Big East)",Sr.,6-3,G,31,239,7.7,2024
2,"Braden Smith, Purdue (Big Ten)",So.,6-0,G,39,292,7.5,2024
3,"Elijah Hawkins, Minnesota (Big Ten)",Jr.,5-11,G,33,247,7.5,2024
4,"Savion Lewis, Quinnipiac (MAAC)",Sr.,6-1,G,34,248,7.3,2024
5,"Symir Torrence, Binghamton (America East)",Sr.,6-3,G,24,173,7.2,2024
6,"Deivon Smith, Utah (Pac-12)",Sr.,6-1,G,28,198,7.1,2024
7,"Ryan Nembhard, Gonzaga (WCC)",Jr.,6-0,G,35,243,6.9,2024
8,"Isaiah Stevens, Colorado St. (Mountain West)",Sr.,6-0,G,36,245,6.8,2024
9,"RayJ Dennis, Baylor (Big 12)",Sr.,6-2,G,35,236,6.7,2024
10,"Roscoe Eastmond, Southeastern La. (Southland)",Sr.,5-9,G,32,209,6.5,2024
11,"Darius Brown II, Utah St. (Mountain West)",Sr.,6-2,G,35,228,6.5,2024
12,"Dajuan Harris Jr., Kansas (Big 12)",Jr.,6-2,G,34,221,6.5,2024
13,"Pierre Crockrell II, UC Irvine (Big West)",Sr.,6-0,G,34,217,6.4,2024
14,"Jaquan Carlos, Hofstra (CAA)",Jr.,6-0,G,33,208,6.3,2024
15,"Jamal Shead, Houston (Big 12)",Sr.,6-1,G,37,233,6.3,2024
16,"Terrell Burden, Kennesaw St. (ASUN)",Sr.,5-10,G,31,195,6.3,2024
17,"Reece Beekman, Virginia (ACC)",Sr.,6-3,G,34,212,6.2,2024
18,"Drew Thelwell, Morehead St. (OVC)",Jr.,6-3,G,34,211,6.2,2024
19,"Tristen Newton, UConn (Big East)",Sr.,6-5,G,40,248,6.2,2024
20,"Xavier Johnson, Southern Ill. (MVC)",Sr.,6-1,G,32,196,6.1,2024
21,"Sahvir Wheeler, Washington (Pac-12)",Sr.,5-9,G,31,188,6.1,2024
22,"Zakai Zeigler, Tennessee (SEC)",Jr.,5-9,G,36,218,6.1,2024
23,"Isaiah Hill, Fresno St. (Mountain West)",Sr.,6-0,G,32,193,6,2024
24,"Ace Baldwin Jr., Penn St. (Big Ten)",Sr.,6-0,G,33,199,6,2024
25,"Stephan Swenson, Stetson (ASUN)",Sr.,6-2,G,35,203,5.8,2024
26,"Caleb Fields, Arkansas St. (Sun Belt)",Sr.,6-0,G,35,202,5.8,2024
27,"Kobe Langley, UNC Greensboro (SoCon)",Sr.,6-1,G,32,181,5.7,2024
28,"Braeden Smith, Colgate (Patriot)",So.,6-0,G,35,196,5.6,2024
29,"Vonterius Woolbright, Western Caro. (SoCon)",Sr.,6-6,G,32,179,5.6,2024
30,"Alvaro Cardenas, San Jose St. (Mountain West)",Jr.,6-1,G,31,171,5.5,2024
31,"Eric Gaines, UAB (AAC)",Jr.,6-2,G,35,191,5.5,2024
32,"Donovan Dent, New Mexico (Mountain West)",So.,6-2,G,35,190,5.4,2024
33,"Daniss Jenkins, St. John's (NY) (Big East)",Sr.,6-3,G,33,179,5.4,2024
34,"Christian Tucker, UTSA (AAC)",Jr.,6-3,G,32,173,5.4,2024
35,"Augustas Marciulionis, Saint Mary's (CA) (WCC)",Jr.,6-4,G,34,181,5.3,2024
36,"Darius DeAveiro, Valparaiso (MVC)",Jr.,6-0,G,32,170,5.3,2024
37,"Fred Cleveland Jr., N.C. Central (MEAC)",Sr.,5-9,G,29,154,5.3,2024
38,"Tidjiane Dioumassi, Southern U. (SWAC)",Jr.,6-4,G,32,169,5.3,2024
38,"Max Fiedler, Rice (AAC)",Sr.,6-11,F,32,169,5.3,2024
38,"Grant Huffman, Davidson (Atlantic 10)",Sr.,6-3,G,32,169,5.3,2024
41,"A.J. Hoggard, Michigan St. (Big Ten)",Sr.,6-4,G,35,183,5.2,2024
42,"Dillon Jones, Weber St. (Big Sky)",Jr.,6-6,F,31,162,5.2,2024
43,"Sean Newman Jr., Louisiana Tech (CUSA)",So.,6-1,G,28,146,5.2,2024
44,"Kadary Richmond, Seton Hall (Big East)",Sr.,6-6,G,35,180,5.1,2024
45,"Dedan Thomas Jr., UNLV (Mountain West)",Fr.,6-1,G,34,174,5.1,2024
46,"Ayinde Hikim, UMass Lowell (America East)",Sr.,5-11,G,32,162,5.1,2024
47,"Dallin Hall, BYU (Big 12)",So.,6-3,G,34,172,5.1,2024
48,"Alex Schumacher, Seattle U (WAC)",Sr.,6-3,G,37,187,5.1,2024
49,"Boo Buie, Northwestern (Big Ten)",Sr.,6-2,G,34,171,5,2024
49,"Caleb Burgess, UNC Asheville (Big South)",Sr.,6-3,G,34,171,5,2024
51,"Rylan Jones, Samford (SoCon)",Sr.,6-1,G,35,174,5,2024
52,"Kenan Blackshear, Nevada (Mountain West)",Sr.,6-6,G,32,159,5,2024
53,"Jaden Winston, Manhattan (MAAC)",Fr.,6-0,G,30,149,5,2024
54,"Jaylin Hunter, Ohio (MAC)",Sr.,5-11,G,33,163,4.9,2024
55,"Zyon Pullin, Florida (SEC)",Sr.,6-4,G,33,162,4.9,2024
56,"Jahvon Quinerly, Memphis (AAC)",Sr.,6-1,G,32,157,4.9,2024
57,"KJ Simpson, Colorado (Pac-12)",Jr.,6-2,G,37,181,4.9,2024
58,"Tamin Lipsey, Iowa St. (Big 12)",So.,6-1,G,36,176,4.9,2024
59,"Posh Alexander, Butler (Big East)",Sr.,6-0,G,32,156,4.9,2024
59,"Sebastian Thomas, UAlbany (America East)",Jr.,6-1,G,32,156,4.9,2024
61,"Elijah Stephens, American (Patriot)",Jr.,5-9,G,29,141,4.9,2024
62,"Malik Mack, Harvard (Ivy League)",Fr.,6-1,G,24,116,4.8,2024
63,"Maleek Arington, Idaho St. (Big Sky)",So.,6-3,G,34,164,4.8,2024
64,"Julian Larry, Indiana St. (MVC)",Jr.,6-3,G,39,188,4.8,2024
65,"CJ Jones, UIC (MVC)",So.,6-5,G,33,159,4.8,2024
66,"Bruce Thornton, Ohio St. (Big Ten)",So.,6-2,G,35,168,4.8,2024
66,"JP Pegues, Furman (SoCon)",Jr.,6-1,G,30,144,4.8,2024
68,"Jhamir Brickus, La Salle (Atlantic 10)",Sr.,5-11,G,33,158,4.8,2024
68,"Braden Norris, Loyola Chicago (Atlantic 10)",Sr.,6-0,G,33,158,4.8,2024
70,"Dayvion McKnight, Xavier (Big East)",Jr.,6-1,G,34,162,4.8,2024
71,"Ahmad Robinson, New Hampshire (America East)",Jr.,5-10,G,31,147,4.7,2024
72,"Trey Alexander, Creighton (Big East)",Jr.,6-4,G,35,165,4.7,2024
73,"Shahada Wells, McNeese (Southland)",Sr.,6-0,G,33,155,4.7,2024
74,"Anthony Pritchard, Central Mich. (MAC)",Jr.,6-3,G,29,136,4.7,2024
75,"Naithan George, Georgia Tech (ACC)",Fr.,6-3,G,29,135,4.7,2024
76,"Dug McDaniel, Michigan (Big Ten)",So.,5-11,G,26,121,4.7,2024
77,"Tony Perkins, Iowa (Big Ten)",Sr.,6-4,G,34,158,4.6,2024
78,"Sean Pedulla, Virginia Tech (ACC)",Jr.,6-1,G,32,148,4.6,2024
79,"Aaron Estrada, Alabama (SEC)",Sr.,6-3,G,37,171,4.6,2024
80,"Trey Galloway, Indiana (Big Ten)",Sr.,6-5,G,31,143,4.6,2024
81,"Kevin Cross, Tulane (AAC)",Sr.,6-8,F,30,138,4.6,2024
82,"Dwon Odom, Georgia St. (Sun Belt)",Jr.,6-2,G,31,142,4.6,2024
83,"Jaron Rillie, Northern Colo. (Big Sky)",Sr.,6-3,G,28,128,4.6,2024
84,"Moe Odum, Pacific (WCC)",So.,6-1,G,32,146,4.6,2024
85,"Michael Bradley, Northern Ky. (Horizon)",Sr.,6-0,G,33,150,4.5,2024
86,"Ellis Magnuson, Eastern Wash. (Big Sky)",Sr.,6-1,G,32,145,4.5,2024
87,"Barrington Hargress, UC Riverside (Big West)",Fr.,6-0,G,34,154,4.5,2024
88,"Jordan Sears, UT Martin (OVC)",Jr.,5-11,G,32,144,4.5,2024
89,"Walyn Napper, Longwood (Big South)",Sr.,6-1,G,35,157,4.5,2024
90,"Reed Sheppard, Kentucky (SEC)",Fr.,6-3,G,33,148,4.5,2024
91,"Noah Reynolds, Green Bay (Horizon)",Jr.,6-3,G,27,121,4.5,2024
92,"Aboubacar Traore, Long Beach St. (Big West)",Jr.,6-5,F,36,161,4.5,2024
93,"Latrell Reid, Saint Peter's (MAAC)",Sr.,6-3,G,33,147,4.5,2024
94,"Jalin Anderson, Ball St. (MAC)",Jr.,6-3,G,31,138,4.5,2024
95,"Elvin Edmonds IV, Bucknell (Patriot)",Jr.,6-2,G,27,120,4.4,2024
96,"Judah Mintz, Syracuse (ACC)",So.,6-3,G,32,142,4.4,2024
97,"Themus Fulks, Louisiana (Sun Belt)",Jr.,6-1,G,29,128,4.4,2024
98,"Milos Uzan, Oklahoma (Big 12)",So.,6-4,G,32,141,4.4,2024
99,"Joe Anderson, Lipscomb (ASUN)",Sr.,6-0,G,32,140,4.4,2024
100,"Javier Ezquerra, Wagner (NEC)",Jr.,6-1,G,33,144,4.4,2024
101,"Tylor Perry, Kansas St. (Big 12)",Sr.,5-11,G,34,148,4.4,2024
102,"Markus Burton, Notre Dame (ACC)",Fr.,5-11,G,33,143,4.3,2024
103,"KK Robinson, Little Rock (OVC)",Sr.,6-0,G,28,121,4.3,2024
104,"Drake Allen, Utah Valley (WAC)",Jr.,6-4,G,30,129,4.3,2024
105,"Joe Toussaint, Texas Tech (Big 12)",Sr.,6-0,G,34,146,4.3,2024
106,"James Bishop IV, George Washington (Atlantic 10)",Sr.,6-2,G,32,137,4.3,2024
107,"Jordan Nesbitt, Hampton (CAA)",Jr.,6-6,G,25,107,4.3,2024
108,"Isaiah Collier, Southern California (Pac-12)",Fr.,6-5,G,27,115,4.3,2024
109,"Rasheed Bello, Purdue Fort Wayne (Horizon)",Jr.,6-0,G,36,153,4.3,2024
110,"Jayden Epps, Georgetown (Big East)",So.,6-2,G,29,123,4.2,2024
110,"Byron Joshua, Alcorn (SWAC)",Jr.,5-11,G,29,123,4.2,2024
112,"Ja'Kobi Gillespie, Belmont (MVC)",So.,6-0,G,25,106,4.2,2024
113,"Ta'lon Cooper, South Carolina (SEC)",Sr.,6-4,G,34,144,4.2,2024
114,"Steven Ashworth, Creighton (Big East)",Sr.,6-1,G,35,148,4.2,2024
115,"Trey Calvin, Wright St. (Horizon)",Sr.,6-0,G,31,131,4.2,2024
116,"Jaeden Zackery, Boston College (ACC)",Jr.,6-2,G,36,152,4.2,2024
117,"Jahmir Young, Maryland (Big Ten)",Sr.,6-2,G,32,135,4.2,2024
118,"Demarcus Sharp, Austin Peay (ASUN)",Sr.,6-3,G,29,122,4.2,2024
119,"Tommy Bruner, Denver (Summit League)",Sr.,6-1,G,34,143,4.2,2024
120,"Chase Adams, Jackson St. (SWAC)",Sr.,5-8,G,25,105,4.2,2024
121,"Keshon Gilbert, Iowa St. (Big 12)",Jr.,6-4,G,37,155,4.2,2024
122,"Giovanni Santiago, Kent St. (MAC)",Sr.,6-1,G,34,142,4.2,2024
123,"Jaden Ray, Sam Houston (CUSA)",Sr.,5-10,G,29,121,4.2,2024
124,"Saint Thomas, Northern Colo. (Big Sky)",Jr.,6-7,F,32,133,4.2,2024
125,"Khalil Brantley, La Salle (Atlantic 10)",Jr.,6-1,G,33,137,4.2,2024
126,"CJ Fulton, Col. of Charleston (CAA)",Jr.,6-2,G,35,145,4.1,2024
127,"Jasper Floyd, Fairfield (MAAC)",Jr.,6-3,G,37,153,4.1,2024
128,"Johannes Kirsipuu, Central Ark. (ASUN)",So.,6-2,G,32,132,4.1,2024
128,"Brett Thompson, Youngstown St. (Horizon)",Sr.,6-1,G,32,132,4.1,2024
130,"Carlton Carrington, Pittsburgh (ACC)",Fr.,6-4,G,33,136,4.1,2024
131,"Max Abmas, Texas (Big 12)",Sr.,6-0,G,34,140,4.1,2024
132,"Kevin McCullar Jr., Kansas (Big 12)",Sr.,6-7,G,26,107,4.1,2024
133,"Brandon Whitney, Montana (Big Sky)",Sr.,6-1,G,36,148,4.1,2024
133,"BJ Freeman, Milwaukee (Horizon)",Jr.,6-6,G,27,111,4.1,2024
135,"Camian Shell, N.C. A&T (CAA)",So.,5-10,G,31,127,4.1,2024
135,"Javon Small, Oklahoma St. (Big 12)",So.,6-2,G,31,127,4.1,2024
137,"Khristion Courseault, Kansas City (Summit League)",Sr.,6-2,G,32,131,4.1,2024
137,"JaCobi Wood, Murray St. (MVC)",Jr.,6-2,G,32,131,4.1,2024
139,"Tyrese Hunter, Texas (Big 12)",Jr.,6-0,G,33,135,4.1,2024
140,"Leland Walker, Eastern Ky. (ASUN)",So.,6-1,G,31,126,4.1,2024
141,"Bez Mbeng, Yale (Ivy League)",Jr.,6-4,G,33,134,4.1,2024
142,"Robbie Avila, Indiana St. (MVC)",So.,6-10,C,37,150,4.1,2024
142,"Elliot Cadeau, North Carolina (ACC)",Fr.,6-1,G,37,150,4.1,2024
144,"Sean East II, Missouri (SEC)",Sr.,6-3,G,30,121,4,2024
145,"Jaden Clayton, Maine (America East)",So.,6-1,G,32,129,4,2024
145,"Zach Cleveland, Liberty (CUSA)",So.,6-7,F,32,129,4,2024
147,"Hysier Miller, Temple (AAC)",Jr.,6-1,G,36,145,4,2024
147,"Wade Taylor IV, Texas A&M (SEC)",Jr.,6-0,G,36,145,4,2024
149,"Mark Sears, Alabama (SEC)",Sr.,6-1,G,37,149,4,2024
150,"Arturo Dean, FIU (CUSA)",So.,5-11,G,31,124,4,2024
151,"Jaylen Murray, Ole Miss (SEC)",Jr.,5-11,G,32,127,4,2024
152,"Aly Khalifa, BYU (Big 12)",Jr.,6-11,C,29,115,4,2024
152,"Ajay Mitchell, UC Santa Barbara (Big West)",Jr.,6-4,G,29,115,4,2024
154,"Zion Harmon, Bethune-Cookman (SWAC)",So.,6-0,G,28,111,4,2024
155,"Marcus Domask, Illinois (Big Ten)",Sr.,6-6,F,38,150,3.9,2024
156,"Baylor Scheierman, Creighton (Big East)",Sr.,6-7,G,35,138,3.9,2024
157,"Marcus Williams, San Francisco (WCC)",Sr.,6-2,G,34,134,3.9,2024
158,"Adam Clark, Merrimack (NEC)",Fr.,5-10,G,33,130,3.9,2024
159,"Dakota Leffew, Mount St. Mary's (MAAC)",Sr.,6-5,G,30,118,3.9,2024
159,"Earl Timberlake, Bryant (America East)",Sr.,6-6,G,30,118,3.9,2024
161,"Chucky Hepburn, Wisconsin (Big Ten)",Jr.,6-2,G,35,137,3.9,2024
162,"Ray Harrison, Grand Canyon (WAC)",Jr.,6-4,G,34,133,3.9,2024
163,"Cian Medley, Saint Louis (Atlantic 10)",Fr.,5-11,G,33,129,3.9,2024
164,"Jordan Derkack, Merrimack (NEC)",So.,6-5,G,32,125,3.9,2024
164,"Colin Porter, Liberty (CUSA)",So.,5-9,G,32,125,3.9,2024
166,"Duke Deen, Bradley (MVC)",Sr.,5-8,G,35,136,3.9,2024
167,"Neal Quinn, Richmond (Atlantic 10)",Sr.,7-0,C,33,128,3.9,2024
168,"Rob Dillingham, Kentucky (SEC)",Fr.,6-2,G,32,124,3.9,2024
169,"Marion Humphrey, A&M-Corpus Christi (Southland)",Sr.,6-3,G,30,116,3.9,2024
170,"Keishawn Davidson, Belmont (MVC)",Sr.,6-2,G,33,127,3.8,2024
171,"Austin Benigni, Navy (Patriot)",So.,5-10,G,31,119,3.8,2024
171,"PJ Haggerty, Tulsa (AAC)",Fr.,6-3,G,31,119,3.8,2024
173,"Jimmy Clark III, Duquesne (Atlantic 10)",Sr.,6-3,G,37,142,3.8,2024
174,"Ezra Manjon, Vanderbilt (SEC)",Sr.,6-0,G,30,115,3.8,2024
175,"Myles Rice, Washington St. (Pac-12)",Fr.,6-3,G,35,134,3.8,2024
176,"Tyler Robertson, Portland (WCC)",Sr.,6-6,G,33,126,3.8,2024
176,"Jakari Spence, Monmouth (CAA)",Sr.,6-0,G,33,126,3.8,2024
178,"Jordan Johnson, New Orleans (Southland)",Sr.,6-1,G,32,122,3.8,2024
178,"Jacari Lane, North Ala. (ASUN)",So.,6-0,G,32,122,3.8,2024
180,"Kasen Harrison, Winthrop (Big South)",Sr.,6-2,G,31,118,3.8,2024
181,"Matthew Lee, Missouri St. (MVC)",Sr.,6-0,G,29,110,3.8,2024
182,"Isaiah Moses, UC Riverside (Big West)",So.,6-1,G,33,125,3.8,2024
182,"Jamarii Thomas, Norfolk St. (MEAC)",Jr.,6-0,G,33,125,3.8,2024
